Lugar,Fecha,Alimento,Precio ,Unidades,Observación
Olimpica_AVJimenez,Feb-12,Cebolla ,1300,libra,
,Feb-12,Coliflor,4100,libra,
,Feb-12,Papa ,1600,Libra,
,Feb-12,Tomate,2300,Libra,
,Feb-12,Zanohoria,1100,Libra,
,Feb-12,Fresa,7200,Libra,
,Feb-12,Granadilla,6450,Libra,
,Feb-12,Lulo,2800,Libra,
,Feb-12,Manzana,3900,Libra,
,Feb-12,Maracuya,6400,Libra,
Surtifruver_cll58,Feb-15,Cebolla ,1490,Libra,
,Feb-15,Coliflor,3800,Libra,
,Feb-15,Papa ,1118,Libra,
,Feb-15,Tomate,2290,Libra,
,Feb-15,Zanohoria,1650,Libra,
,Feb-15,Fresa,6300,Libra,No habia del producto en el dia de su recoleccion pero la cajera dijo que estaba a ese precio.
,Feb-15,Granadilla,5990,Libra,
,Feb-15,Lulo,2590,Libra,
,Feb-15,Manzana,8400,Libra,
,Feb-15,Maracuya,4250,Libra,
Olimpica_Avjimnez,Feb-21,Cebolla ,1300,Libra,
,Feb-21,Coliflor,3750,Libra,
,Feb-21,Papa ,1600,Libra,
,Feb-21,Tomate,2450,Libra,
,Feb-21,Zanohoria,1000,Libra,
,Feb-21,Fresa,3800,Libra,
,Feb-21,Granadilla,6450,Libra,
,Feb-21,Lulo,2800,Libra,
,Feb-21,Manzana,5250,Libra,
,Feb-21,Maracuya,4450,Libra,
Surtifruver_cll58,Feb-29,Cebolla ,1090,Libra,
,Feb-29,Coliflor,5000,Libra,
,Feb-29,Papa ,1118,Libra,
,Feb-29,Tomate,2150,Libra,
,Feb-29,Zanohoria,1490,Libra,
,Feb-29,Fresa,6600,Libra,No habia del producto en el dia de su recoleccion pero la cajera dijo que estaba a ese precio.
,Feb-29,Granadilla,3990,Libra,
,Feb-29,Lulo,2500,Libra,
,Feb-29,Manzana,8600,Libra,
,Feb-29,Maracuya,2400,Libra,
